time,F7,AF7,AF8,F8,MARKER
234,0.059050205255414476,-14120.039951280505,-24918.234176272203,-9014.7915317292,
236,0.05778872392434534,-14368.582910877914,-26714.039945588615,-10691.902481141778,
238,0.056544326613865444,-14575.719737648582,-27493.75397393159,-10906.300484047022,
240,0.05536198919736017,-14732.957178046836,-27627.581429962825,-10091.861010925313,
242,0.05425721408197059,-14844.742677846963,-27712.24564338305,-9061.9168190367,
244,0.05321019817169499,-14926.962286407399,-28339.1945402806,-8678.85604246894,
246,0.05217344871296431,-15001.108572611474,-29866.751701790974,-9517.22565662735,
248,0.05109006374350072,-15086.295533483539,-32282.95713024514,-11647.062559598298,
250,0.04991578171579025,-15192.12528121423,-35210.93257391686,-14616.149554717611,
252,0.048636395428637964,-15315.108073061721,-38053.942810073306,-17633.347979805345,
254,0.04727382240774141,-15440.010339184053,-40223.985534757114,-19879.178467689664,
256,0.04587840675549563,-15545.650199157546,-41366.145276969386,-20822.925565746275,
258,0.04451027804870097,-15612.975108953187,-41493.050669475044,-20424.98469206196,
260,0.043216807139737634,-15632.380330953032,-40978.57630931837,-19148.552950116256,
262,0.04201475247367577,-15607.496317181663,-40413.940750150745,-17778.35377145766,
264,0.040883965728846346,-15553.992837551246,-40381.83329278036,-17117.66857512434,
266,0.039775156026045234,-15493.824577106305,-41235.13528024648,-17680.609308089366,
268,0.038628850545904356,-15447.069872457929,-42964.52222411467,-19497.251799100715,
270,0.03739838244799337,-15424.43672100267,-45204.825859696204,-22105.142999555264,
272,0.03606814253593705,-15423.274395772203,-47376.83312168446,-24728.99032657287,
274,0.03466008016530757,-15428.617677681794,-48909.61369119168,-26578.56954802959,
276,0.03322588580524197,-15418.894351284613,-49458.155599648824,-27150.3668717462,
278,0.03182774839246517,-15374.159969721923,-49033.45947881847,-26417.92206381619,
280,0.03051497091229694,-15283.756560751777,-47996.166741723464,-24839.114026901872,
282,0.029305359201485498,-15150.494413592578,-46917.124756076875,-23178.902896281154,
284,0.028178529148953784,-14989.757771770435,-46358.95063706149,-22216.345806269852,
286,0.027083762376495554,-14823.848862568064,-46662.35229718569,-22448.269826501575,
288,0.025959491766029456,-14673.688622451755,-47818.53714994701,-23902.434001234324,
290,0.02475703372396116,-14551.003016834926,-49475.6464230877,-26130.50187137464,
292,0.023459518933896036,-14453.954426235001,-51075.748911241935,-28382.18654109901,
294,0.02208876052470809,-14367.886716747169,-52069.231796748165,-29892.972819880062,
296,0.02069737285138034,-14270.923999411027,-52124.35820881274,-30175.111182505956,
298,0.019349079657034828,-14142.324288704942,-51252.23782677498,-29201.169261533825,
300,0.018094680029835268,-13970.43722056959,-49800.291374422224,-27411.14756731513,
302,0.016952835808018103,-13757.2516959804,-48317.73799940291,-25541.81418167686,
304,0.01590304288754642,-13517.798161286133,-47345.340618639886,-24344.545568762085,
306,0.014893524266168776,-13274.611625268295,-47210.068738296926,-24299.844898767617,
308,0.01386109114980409,-13049.332730298314,-47902.81551921156,-25437.11435036195,
310,0.012755432475709939,-12854.616029752784,-49085.045788746116,-27327.360858738593,
312,0.01155857128890493,-12689.410286035913,-50220.78315026444,-29250.205886448108,
314,0.010292038374205932,-12539.4099240727,-50782.649877909986,-30470.278739810965,
316,0.009008979876860996,-12382.524841376118,-50452.90405603378,-30517.01523555889,
318,0.007774162394450749,-12197.314594983012,-49242.98546504469,-29361.467931514762,
320,0.006639472653711332,-11971.203122146997,-47486.75361222291,-27423.781090180633,
322,0.005624254120761051,-11705.362507382946,-45711.07054522019,-25409.923139158243,
324,0.0047080033350867,-11414.405689139641,-44434.046025139025,-24041.19397237966,
326,0.003838249164020322,-11120.98825412848,-43968.367320344296,-23780.24320473138,
328,0.0029506466444567375,-10847.348138775556,-44304.52693228931,-24657.76555886635,
330,0.001993644270380551,-10606.978165255736,-45117.690562824595,-26264.86118268923,
332,0.0009483183310542106,-10399.585547684948,-45894.495456376484,-27912.504794661345,
334,-0.00016420803636923233,-10211.256529181934,-46130.44961172637,-28896.03442143248,
336,-0.0012906188056611497,-10019.777948213417,-45522.17002754132,-28763.2056364296,
338,-0.00236556366638519,-9803.113851754459,-44081.34611855497,-27483.912788881193,
340,-0.0033364492146170433,-9547.834728624768,-42127.77242735447,-25457.974382382494,
342,-0.004183408628040965,-9254.306614414956,-40165.21346210746,-23359.505237423262,
344,-0.004926821278035885,-8936.666809446238,-38688.42355543205,-21878.516987452917,
346,-0.005619495319671876,-8617.583222164254,-37995.39787372853,-21458.884852840252,
348,-0.006326476984926786,-8319.770555603118,-38076.246838236955,-22132.276037568543,
350,-0.007100176794085209,-8057.469705542054,-38620.25273190014,-23510.233884661346,
352,-0.007960298567338415,-7831.117694050305,-39137.29722076416,-24935.924876796023,
354,-0.008886232987023727,-7627.233506192997,-39146.36099965202,-25736.3713981581,
